문자내용,분류
무료 쿠폰 지금 신청하세요,스팸
당첨 되셨어요 링크 클릭,스팸
대출 무이자 지금 바로,스팸
무료 상품권 증정 클릭,스팸
지금 가입시 현금 지급,스팸
한정 특가 무료배송 클릭,스팸
축하합니다 경품 당첨 확인,스팸
저금리 대출 승인 완료,스팸
무료체험 지금 신청 마감임박,스팸
VIP 초대 무료 이벤트 참여,스팸
긴급 계정 인증 클릭 요망,스팸
카드 한도 상향 무료 신청,스팸
오늘만 무료 적립금 지급,스팸
네트워크 경품 당첨 수령,스팸
무료 스팸 광고 클릭 대박,스팸
내일 회의 3시로 변경됐어요,정상
점심 뭐 드실래요 메뉴 정해요,정상
보고서 초안 검토 부탁드립니다,정상
오늘 야근 가능하신가요,정상
설비 점검 결과 공유합니다,정상
주말 잘 보내세요 월요일에 봬요,정상
자료 첨부해서 메일 보냈습니다,정상
회식 장소 예약 완료했습니다,정상
납품 일정 확인 부탁해요,정상
안전교육 이수 확인 바랍니다,정상
생산 실적 정리해서 올릴게요,정상
휴가 신청서 결재 부탁드립니다,정상
고객 미팅 준비 잘 됐나요,정상
프로젝트 진행 상황 보고드려요,정상
자재 재고 확인 후 알려주세요,정상
